year_initial,month_initial,day_initial,year_final,month_final,day_final,site,level,avg,products,download,longitude,latitude
2023,06,01,2023,08,31,Mt_Washington_ES,10,10,aod,on,-76.65459,39.36631
2023,06,01,2023,08,31,Southeast_MS,10,10,aod,on,-76.530643,39.284685
2023,06,01,2023,08,31,Talmudical_Academy,10,10,aod,on,-76.74619,39.369406
2023,06,01,2023,08,31,Sugarcone,10,10,aod,on,-76.685833,39.384722
2023,06,01,2023,08,31,Frederick_Douglas,10,10,aod,on,-76.654572,39.315484
2023,06,01,2023,08,31,Hamilton_El_MS,10,10,aod,on,-76.558236,39.358986
2023,06,01,2023,08,31,Lakeland_El_MS,10,10,aod,on,-76.645314,39.254146
2023,06,01,2023,08,31,Lansdowne_HS,10,10,aod,on,-76.648472,39.245066
2023,06,01,2023,08,31,Robert_Poole_MS,10,10,aod,on,-76.63752,39.33041
2023,06,01,2023,08,31,Waters_Art_Gallery,10,10,aod,on,-76.616667,39.3
2023,06,01,2023,08,31,Patapsco_MS,10,10,aod,on,-76.847241,39.303046
2023,06,01,2023,08,31,Windsor_Corp_Park,10,10,aod,on,-76.7545,39.3265
2023,06,01,2023,08,31,St_Timothys_Lane,10,10,aod,on,-76.728612,39.272724
2023,06,01,2023,08,31,Glendale_Park,10,10,aod,on,-76.578817,39.3837
2023,06,01,2023,08,31,LW-SCAN,10,10,aod,on,-97.97884,34.96047
2023,06,01,2023,08,31,Ellington_Field,10,10,aod,on,-95.18,29.6
2023,06,01,2023,08,31,MVCO,10,10,aod,on,-70.5667,41.325
2023,06,01,2023,08,31,Egbert_X,10,10,aod,on,-79.781414,44.231543
2023,06,01,2023,08,31,New_Hampshire_Univ,10,10,aod,on,-70.92,43.1325
2023,06,01,2023,08,31,Los_Alamos,10,10,aod,on,-106.326067,35.873583
2023,06,01,2023,08,31,Ames,10,10,aod,on,-93.774778,42.021361
2023,06,01,2023,08,31,Moss_Landing,10,10,aod,on,-121.788167,36.793133
2023,06,01,2023,08,31,Fresno_X,10,10,aod,on,-119.773167,36.781733
2023,06,01,2023,08,31,Sioux_Falls_X,10,10,aod,on,-96.625983,43.736283
2023,06,01,2023,08,31,COVE_SEAPRISM,10,10,aod,on,-75.71,36.9
2023,06,01,2023,08,31,Tonopah_Airport,10,10,aod,on,-117.09052,38.05044
2023,06,01,2023,08,31,Red_Mountain_Pass,10,10,aod,on,-107.710917,37.907449
2023,06,01,2023,08,31,USDA-BARC,10,10,aod,on,-76.93218,39.03127
2023,06,01,2023,08,31,Richland,10,10,aod,on,-119.28,46.34
2023,06,01,2023,08,31,Chapais,10,10,aod,on,-74.9754,49.822433
2023,06,01,2023,08,31,Smith_Island_CBF,10,10,aod,on,-76.02385,37.969183
2023,06,01,2023,08,31,Univ_of_Houston,10,10,aod,on,-95.3416,29.7177
2023,06,01,2023,08,31,Appledore_Island,10,10,aod,on,-70.615361,42.987064
2023,06,01,2023,08,31,Thompson_Farm,10,10,aod,on,-70.948344,43.108772
2023,06,01,2023,08,31,White_Sands_HELSTF,10,10,aod,on,-106.338072,32.634942
2023,06,01,2023,08,31,Frenchman_Flat,10,10,aod,on,-115.93479,36.80928
2023,06,01,2023,08,31,USDA-Howard,10,10,aod,on,-76.8775,39.0542
2023,06,01,2023,08,31,NASA_Ames,10,10,aod,on,-122.056969,37.419986
2023,06,01,2023,08,31,OK_St_Univ,10,10,aod,on,-97.91734,35.04564
2023,06,01,2023,08,31,Mount_Gibbes,10,10,aod,on,-82.285712,35.735207
2023,06,01,2023,08,31,Calipso_Strasburg,10,10,aod,on,-76.2193,39.934467
2023,06,01,2023,08,31,Calipso_Prt_Deposit,10,10,aod,on,-76.116367,39.604
2023,06,01,2023,08,31,Calipso_Price,10,10,aod,on,-75.959017,39.097367
2023,06,01,2023,08,31,Calipso_West_Denton,10,10,aod,on,-75.894331,38.914961
2023,06,01,2023,08,31,Calipso_Brookview,10,10,aod,on,-75.794308,38.576022
2023,06,01,2023,08,31,Calipso_Mardela_Spr,10,10,aod,on,-75.74795,38.469083
2023,06,01,2023,08,31,Calipso_Princess_An,10,10,aod,on,-75.68489,38.21322
2023,06,01,2023,08,31,Calipso_Ninetown_Rd,10,10,aod,on,-75.91,38.964983
2023,06,01,2023,08,31,Calipso_Poplar_Tree,10,10,aod,on,-77.414233,38.8634
2023,06,01,2023,08,31,Calipso_Sterling_PO,10,10,aod,on,-77.457567,39.0012
2023,06,01,2023,08,31,Calipso_Ashburn,10,10,aod,on,-77.476167,39.0659
2023,06,01,2023,08,31,Calipso_Peckman_Frm,10,10,aod,on,-77.750033,39.938633
2023,06,01,2023,08,31,Calipso_Zion,10,10,aod,on,-76.199,39.932389
2023,06,01,2023,08,31,Calipso_Perryville,10,10,aod,on,-76.072656,39.560672
2023,06,01,2023,08,31,Calipso_Kennedyvill,10,10,aod,on,-75.991983,39.3055
2023,06,01,2023,08,31,Calipso_Pine_Cove,10,10,aod,on,-75.969347,39.238669
2023,06,01,2023,08,31,Calipso_Bowers_Rd,10,10,aod,on,-75.955397,39.193347
2023,06,01,2023,08,31,Calipso_Ridgely,10,10,aod,on,-75.8815,38.94863
2023,06,01,2023,08,31,Calipso_WofDenton,10,10,aod,on,-75.862416,38.89885
2023,06,01,2023,08,31,Calipso_WillistonLk,10,10,aod,on,-75.8463,38.82893
2023,06,01,2023,08,31,Calipso_Harrison_Rd,10,10,aod,on,-75.771,38.63195
2023,06,01,2023,08,31,Calipso_NUFerry_Rd,10,10,aod,on,-75.69076,38.34557
2023,06,01,2023,08,31,Calipso_Fincastle,10,10,aod,on,-77.47535,39.050183
2023,06,01,2023,08,31,Calipso_Braddock_Rd,10,10,aod,on,-77.408287,38.82703
2023,06,01,2023,08,31,Calipso_Kinchaloe,10,10,aod,on,-77.390121,38.755423
2023,06,01,2023,08,31,Calipso_W_Strasburg,10,10,aod,on,-76.231117,39.94655
2023,06,01,2023,08,31,Calipso_Church_Hill,10,10,aod,on,-75.981717,39.147466
2023,06,01,2023,08,31,Calipso_Tuckahoe,10,10,aod,on,-75.932939,38.979173
2023,06,01,2023,08,31,Calipso_Washtn_High,10,10,aod,on,-75.686733,38.18005
2023,06,01,2023,08,31,Calipso_W_Mardela,10,10,aod,on,-75.774633,38.460833
2023,06,01,2023,08,31,Calipso_Cooper_Rd,10,10,aod,on,-75.731586,38.325469
2023,06,01,2023,08,31,Calipso_Loudon_Rd,10,10,aod,on,-77.788517,39.938933
2023,06,01,2023,08,31,Calipso_Sanders_ES,10,10,aod,on,-77.510017,39.038485
2023,06,01,2023,08,31,Calipso_Westfield_H,10,10,aod,on,-77.464783,38.887517
2023,06,01,2023,08,31,Calipso_Ormand_MS,10,10,aod,on,-77.45463,38.855649
2023,06,01,2023,08,31,Calipso_Flat_Iron,10,10,aod,on,-75.998673,39.110825
2023,06,01,2023,08,31,Calipso_White_Marsh,10,10,aod,on,-75.988634,39.075915
2023,06,01,2023,08,31,Calipso_Crouse_Mill,10,10,aod,on,-75.95163,38.958531
2023,06,01,2023,08,31,Calipso_Hillsboro,10,10,aod,on,-75.939151,38.915783
2023,06,01,2023,08,31,Calipso_Hurlock,10,10,aod,on,-75.84624,38.61916
2023,06,01,2023,08,31,Calipso_Vienna,10,10,aod,on,-75.816541,38.493536
2023,06,01,2023,08,31,Yaqui,10,10,aod,on,-109.912,27.280833
2023,06,01,2023,08,31,Calipso_Morgnec_Rd,10,10,aod,on,-76.03074,39.23567
2023,06,01,2023,08,31,Calipso_Church_H_Rd,10,10,aod,on,-75.999167,39.132667
2023,06,01,2023,08,31,Calipso_Dean_Rd,10,10,aod,on,-75.9575,39.00275
2023,06,01,2023,08,31,Calipso_Hillsboro_E,10,10,aod,on,-75.932533,38.9169
2023,06,01,2023,08,31,Kirtland_AFB,10,10,aod,on,-106.507403,34.95081
2023,06,01,2023,08,31,UAHuntsville,10,10,aod,on,-86.64473,34.72533
2023,06,01,2023,08,31,Bushland,10,10,aod,on,-102.09384,35.18678
2023,06,01,2023,08,31,Bozeman,10,10,aod,on,-111.045013,45.662204
2023,06,01,2023,08,31,El_Segundo,10,10,aod,on,-118.3823,33.9125
2023,06,01,2023,08,31,Dayton,10,10,aod,on,-84.109618,39.775977
2023,06,01,2023,08,31,LISCO,10,10,aod,on,-73.341767,40.954517
2023,06,01,2023,08,31,UMBC,10,10,aod,on,-76.709353,39.254628
2023,06,01,2023,08,31,Univ_of_Lethbridge,10,10,aod,on,-112.868967,49.681672
2023,06,01,2023,08,31,Easton_Airport,10,10,aod,on,-76.07257,38.80745
2023,06,01,2023,08,31,Kelowna_UAS,10,10,aod,on,-119.400111,49.941294
2023,06,01,2023,08,31,NCAR,10,10,aod,on,-105.24277,40.03753
2023,06,01,2023,08,31,WaveCIS_Site_CSI_6,10,10,aod,on,-90.483333,28.866667
2023,06,01,2023,08,31,Goldstone,10,10,aod,on,-116.791667,35.233333
2023,06,01,2023,08,31,LSU,10,10,aod,on,-91.183883,30.406778
2023,06,01,2023,08,31,CalTech,10,10,aod,on,-118.126167,34.13673
2023,06,01,2023,08,31,Yuma,10,10,aod,on,-114.58278,32.644138
2023,06,01,2023,08,31,McClellan_AFB,10,10,aod,on,-121.399444,38.667777
2023,06,01,2023,08,31,Appalachian_State,10,10,aod,on,-81.6938,36.2146
2023,06,01,2023,08,31,DRAGON_CHASE,10,10,aod,on,-77.080002,38.978612
2023,06,01,2023,08,31,DRAGON_RCKMD,10,10,aod,on,-77.09622,39.06556
2023,06,01,2023,08,31,DRAGON_OLNES,10,10,aod,on,-77.068267,39.149148
2023,06,01,2023,08,31,DRAGON_SPBRK,10,10,aod,on,-77.0058,39.0581
2023,06,01,2023,08,31,DRAGON_TKMPR,10,10,aod,on,-76.997222,38.995278
2023,06,01,2023,08,31,DRAGON_CLLGP,10,10,aod,on,-76.9086,38.9911
2023,06,01,2023,08,31,DRAGON_LAREL,10,10,aod,on,-76.855,39.0808
2023,06,01,2023,08,31,DRAGON_LAUMD,10,10,aod,on,-76.8592,39.1428
2023,06,01,2023,08,31,DRAGON_BOWEM,10,10,aod,on,-76.7506,38.9747
2023,06,01,2023,08,31,DRAGON_ARNCC,10,10,aod,on,-76.7208,39.1589
2023,06,01,2023,08,31,DRAGON_ANNEA,10,10,aod,on,-76.6247,39.1647
2023,06,01,2023,08,31,DRAGON_CTNVL,10,10,aod,on,-76.771944,39.275833
2023,06,01,2023,08,31,DRAGON_BLTIM,10,10,aod,on,-76.651066,39.263145
2023,06,01,2023,08,31,DRAGON_ELLCT,10,10,aod,on,-76.861603,39.2661
2023,06,01,2023,08,31,DRAGON_CLRST,10,10,aod,on,-76.94445,39.20541
2023,06,01,2023,08,31,Steamboat_Springs,10,10,aod,on,-106.81699,40.46376
2023,06,01,2023,08,31,NEON-Boulder,10,10,aod,on,-105.26821,40.00787
2023,06,01,2023,08,31,Gainesville_Airport,10,10,aod,on,-82.261,29.695833
2023,06,01,2023,08,31,Ordway-Swisher,10,10,aod,on,-81.988106,29.69797
2023,06,01,2023,08,31,San_Nicolas_Vandal,10,10,aod,on,-119.536711,33.262214
2023,06,01,2023,08,31,USC_SEAPRISM,10,10,aod,on,-118.11782,33.56371
2023,06,01,2023,08,31,Georgia_Tech,10,10,aod,on,-84.399537,33.780202
2023,06,01,2023,08,31,DRAGON_Padonia,10,10,aod,on,-76.631669,39.462036
2023,06,01,2023,08,31,DRAGON_Essex,10,10,aod,on,-76.474486,39.310943
2023,06,01,2023,08,31,DRAGON_Edgewood,10,10,aod,on,-76.296352,39.409834
2023,06,01,2023,08,31,DRAGON_Aldino,10,10,aod,on,-76.203932,39.563433
2023,06,01,2023,08,31,DRAGON_FairHill,10,10,aod,on,-75.860059,39.701435
2023,06,01,2023,08,31,DRAGON_Beltsville,10,10,aod,on,-76.877491,39.054091
2023,06,01,2023,08,31,DRAGON_PATUX,10,10,aod,on,-76.70938,38.827168
2023,06,01,2023,08,31,DRAGON_UMRLB,10,10,aod,on,-76.814106,38.891262
2023,06,01,2023,08,31,DRAGON_BLTNR,10,10,aod,on,-76.6186,39.2156
2023,06,01,2023,08,31,DRAGON_SHADY,10,10,aod,on,-76.506108,38.840658
2023,06,01,2023,08,31,DRAGON_ARNLS,10,10,aod,on,-76.512926,39.058488
2023,06,01,2023,08,31,DRAGON_WSTFD,10,10,aod,on,-76.946248,39.301577
2023,06,01,2023,08,31,DRAGON_ABERD,10,10,aod,on,-76.16523,39.515103
2023,06,01,2023,08,31,DRAGON_BLLRT,10,10,aod,on,-76.578242,39.389385
2023,06,01,2023,08,31,DRAGON_BTMDL,10,10,aod,on,-76.441601,39.238826
2023,06,01,2023,08,31,DRAGON_CPSDN,10,10,aod,on,-76.462915,39.110656
2023,06,01,2023,08,31,DRAGON_BLDND,10,10,aod,on,-76.519504,39.258315
2023,06,01,2023,08,31,DRAGON_ONNGS,10,10,aod,on,-76.81912,39.387756
2023,06,01,2023,08,31,DRAGON_BLTCC,10,10,aod,on,-76.688429,39.362201
2023,06,01,2023,08,31,DRAGON_MNKTN,10,10,aod,on,-76.652318,39.572926
2023,06,01,2023,08,31,DRAGON_FLLST,10,10,aod,on,-76.413318,39.522366
2023,06,01,2023,08,31,DRAGON_BATMR,10,10,aod,on,-76.47555,39.398913
2023,06,01,2023,08,31,DRAGON_EDCMS,10,10,aod,on,-76.560012,38.922218
2023,06,01,2023,08,31,Farmington_RSVP,10,10,aod,on,-108.479991,36.797383
2023,06,01,2023,08,31,DRAGON_WileyFord,10,10,aod,on,-78.773648,39.610446
2023,06,01,2023,08,31,DRAGON_Bainbridge,10,10,aod,on,-76.074122,39.606044
2023,06,01,2023,08,31,DRAGON_PineyOrchard,10,10,aod,on,-76.719202,39.060781
2023,06,01,2023,08,31,DRAGON_KentIsland,10,10,aod,on,-76.307864,38.9793
2023,06,01,2023,08,31,DRAGON_BelAir,10,10,aod,on,-76.263098,39.500014
2023,06,01,2023,08,31,DRAGON_Pasadena,10,10,aod,on,-76.45544,39.111638
2023,06,01,2023,08,31,DRAGON_Pylesville,10,10,aod,on,-76.405349,39.67515
2023,06,01,2023,08,31,DRAGON_EaglePoint,10,10,aod,on,-76.27,39.397778
2023,06,01,2023,08,31,DRAGON_Worton,10,10,aod,on,-76.091633,39.285436
2023,06,01,2023,08,31,Key_Biscayne2,10,10,aod,on,-80.16333,25.731966
2023,06,01,2023,08,31,Grand_Forks,10,10,aod,on,-97.32545,47.91175
2023,06,01,2023,08,31,NEON17-SJER,10,10,aod,on,-119.722136,37.090419
2023,06,01,2023,08,31,Sandia_NM_PSEL,10,10,aod,on,-106.540069,35.054583
2023,06,01,2023,08,31,Fresno_2,10,10,aod,on,-119.77302,36.78537
2023,06,01,2023,08,31,Univ_of_Nevada-Reno,10,10,aod,on,-119.814033,39.540867
2023,06,01,2023,08,31,NEON_CVALLA,10,10,aod,on,-105.16725,40.16063
2023,06,01,2023,08,31,U_of_Wisconsin_SSEC,10,10,aod,on,-89.411354,43.072492
2023,06,01,2023,08,31,ARM_Barnstable_MA,10,10,aod,on,-70.290061,41.669589
2023,06,01,2023,08,31,DRAGON_Garland,10,10,aod,on,-119.77302,36.78537
2023,06,01,2023,08,31,NEON_GrandJunction,10,10,aod,on,-108.5355,39.1271
2023,06,01,2023,08,31,NEON_Ivanpah,10,10,aod,on,-115.38178,35.550655
2023,06,01,2023,08,31,ARM_Highlands_MA,10,10,aod,on,-70.049317,42.030478
2023,06,01,2023,08,31,NEON_HighParkFire,10,10,aod,on,-105.335581,40.624173
2023,06,01,2023,08,31,NEON_HarvardForest,10,10,aod,on,-72.189899,42.533074
2023,06,01,2023,08,31,DRAGON_Bakersfield,10,10,aod,on,-119.000008,35.331506
2023,06,01,2023,08,31,DRAGON_Shafter,10,10,aod,on,-119.2725,35.50361
2023,06,01,2023,08,31,DRAGON_Clovis,10,10,aod,on,-119.71639,36.81931
2023,06,01,2023,08,31,DRAGON_Corcoran,10,10,aod,on,-119.56583,36.10222
2023,06,01,2023,08,31,DRAGON_Drummond,10,10,aod,on,-119.74139,36.70556
2023,06,01,2023,08,31,DRAGON_Hanford,10,10,aod,on,-119.64323,36.31572
2023,06,01,2023,08,31,DRAGON_Madera_City,10,10,aod,on,-120.034418,36.953162
2023,06,01,2023,08,31,DRAGON_Parlier,10,10,aod,on,-119.50369,36.59744
2023,06,01,2023,08,31,DRAGON_Tranquility,10,10,aod,on,-120.38234,36.63434
2023,06,01,2023,08,31,UH_Coastal_Center,10,10,aod,on,-95.0425,29.3883
2023,06,01,2023,08,31,DRAGON_Porterville,10,10,aod,on,-119.05505,36.03179
2023,06,01,2023,08,31,DRAGON_Visalia,10,10,aod,on,-119.39301,36.31411
2023,06,01,2023,08,31,DRAGON_Huron,10,10,aod,on,-120.10545,36.20615
2023,06,01,2023,08,31,DRAGON_Arvin,10,10,aod,on,-118.78781,35.237959
2023,06,01,2023,08,31,SEARCH-Centreville2,10,10,aod,on,-87.24968,32.90289
2023,06,01,2023,08,31,Santa_Monica_Colg,10,10,aod,on,-118.47113,34.01685
2023,06,01,2023,08,31,DRAGON_Conroe,10,10,aod,on,-95.425,30.350278
2023,06,01,2023,08,31,DRAGON_NW_Harris_CO,10,10,aod,on,-95.673889,30.039444
2023,06,01,2023,08,31,DRAGON_Aldine,10,10,aod,on,-95.326125,29.901037
2023,06,01,2023,08,31,DRAGON_West_Houston,10,10,aod,on,-95.656944,29.833056
2023,06,01,2023,08,31,DRAGON_UH_W_Liberty,10,10,aod,on,-94.9781,30.0583
2023,06,01,2023,08,31,DRAGON_Clinton,10,10,aod,on,-95.2575,29.733611
2023,06,01,2023,08,31,DRAGON_UH_Sugarland,10,10,aod,on,-95.652,29.5741
2023,06,01,2023,08,31,DRAGON_Channel_View,10,10,aod,on,-95.125556,29.8025
2023,06,01,2023,08,31,DRAGON_Deer_Park,10,10,aod,on,-95.128485,29.670046
2023,06,01,2023,08,31,DRAGON_SeabrookPark,10,10,aod,on,-95.015544,29.583047
2023,06,01,2023,08,31,DRAGON_ManvelCroix,10,10,aod,on,-95.392522,29.520427
2023,06,01,2023,08,31,DRAGON_Galveston,10,10,aod,on,-94.861289,29.254474
